Category,question,answer
Email - students,What should I do if I'm unable to access my Office 365 email account?,"If it's been 2 business days since you've activated your account and you have followed the above instructions, but are still unable to login, contact theService Deskwith the following information:"
Email - students,What software is available in the suite of Office software?,"The applications included in the desktop version of Office 365 vary depending on your device’s operating system. On a PC computer, the suite includes the latest versions of Word, Excel, PowerPoint, OneNote, Access, Publisher, & Outlook. On a Mac computer, the latest versions of Excel, Outlook, PowerPoint, and Word are included."
Email - students,Can I install the Office 365 apps on my computer instead of using the online version?,Make sure your Concordia email has been activated then follow these instructions forApple MacOSorWindows.
Email - students,What is Microsoft Teams?,"Microsoft (MS) Teams is a collaboration app that integrates a number of tools from Microsoft. MS Teams can be used for video meetings, persistent chats, file collaboration, project coordination and video streaming. Faculty and staff can create their own Teams and invite colleagues to join them to collaborate with them."
Email - students,Is there training available for Microsoft Teams?,We encourage students to learn more about using Microsoft Teams through thisquick start guideor by watchingMicrosoft orientation videos.
Email - students,"I’m trying to create a new Team but I get a message that it can’t contain a certain word, what should I do?","Certain words in Teams names have been restricted to avoid confusion. If you think you have a legitimate need for one of these restricted words, please contact the IITSService Deskto submit a request."
Email - students,How to I request and activate Concordia Email?,Request an email address on Office 365.
EmPath,Where can I access EmPath?,EmPath users can access the application at:https://apex.concordia.ca/emPath70/HrLogin.aspx
EmPath,What are my credentials?,"To access EmPath, you must enter your netname and password (same as Carrefour). For more information, visit theNetname account managementpage."
EmPath,How do I download the reports ?,"Go to the ‘view reports’ screen, select the appropriate file name and right-click.  A drop-down menu appears with three choices: view, delete, download.  Select ‘download’; you’ll have a choice of Open, Save or Cancel."
Employee pension & tax statements,How do I access my pension or tax statements?,Your pension and tax statements are available through theFaculty and Staff Services page.
Employee pension & tax statements,What should I do if I do not have access to this service?,"Access to this service is automatically granted to new employees. However, if you experience difficulty accessing this service, make a request to theService Desk. Note that request fulfillment is dependent on approval fromHuman Resources."
Employee pension & tax statements,What are the supported browsers for this service?,The following browsers are supported on Windows clients:
Engage Concordia,What functions are available on Engage?,Engage offers a variety of services to different audiences.Consult the list of users below for more information.
Engage Concordia,How do I log into Engage?,"To log into Engage, follow the instructions below:"
Engage Concordia,How do I edit my contact information?,"Visithttps://engage.concordia.ca/loginand sign in using your Concordia netname account, Google account, or LinkedIn credentials. Next, navigate tohttps://engage.concordia.ca/profileto edit your contact information."
Engage Concordia,"I received an event invite, how do I RSVP?","If you received an invitation by email there should be a 'call-to-action' link included in the message. Click that link and it will take you directly to the correct registration page.If you can't locate the email, visithttps://engage.concordia.ca/eventsfor a list of all public events."
Engage Concordia,How do I make an online donation?,"To make a donation online, visithttps://engage.concordia.ca/donate."
Engage Concordia,Who can I contact for help navigating Engage?,"For more information on how to use Engage, contactalumni@concordia.caor call 514-848-2424, ext. 4856."
Equipment loan & rental,I booked a classroom and want to use the standard equipment in the room. How do I reserve the equipment?,"For equipment loan & rental in non-Hospitality Concordia managed venues, submit arequest formto theService Desk."
Equipment loan & rental,What am I required to provide when I pick up my equipment?,You are required to provide:
Equipment loan & rental,How is priority determined for loans and rentals?,Priority is given to support academic courses
Equipment loan & rental,Can I renew my equipment loan?,"If equipment is available, rentals may be renewed by contacting theService Desk. Send an email tohelp@concordia.caor submit aweb formand reference the original loan date and equipment."
Equipment loan & rental,What is the maximum loan time for equipment?,Maximum borrowing time is subject to availability and Service Centre discretion.
Equipment loan & rental,When do I pick up or return my equipment?,Confirmation of pick up and return time will be communicated upon confirmation of the reservation.
Equipment loan & rental,How do I modify or cancel my booking?,"To modify or cancel a booking, notify theService Deskby email athelp@concordia.caand reference the original date of the booking. To avoid any unnecessary charges, notify theService Desk3 business days in advance."
Equipment loan & rental,Are there any charges for cancelling my booking?,"If direct costs for equipment or labor have been incurred, full charges will apply."
Equipment loan & rental,I reserved equipment but cannot pick it up at the scheduled time. What do I do?,"Equipment reserved for pickup will be held for 90 minutes past the pickup time. Once the 90 minutes have passed, the booking will be automatically cancelled."
Equipment loan & rental,"How do I report lost, damaged, or late equipment?",Notify theService Deskimmediately by email athelp@concordia.caor submit aweb formand reference original date of the rental.
Equipment loan & rental,How do I request Wi-Fi access for my event?,Requests for Wi-Fi should be submitted at the same time as the original equipment booking.
Equipment loan & rental,Can equipment be used for musical events ?,Please note that the IITS equipment cannot be used for any musical events that may or may not include  DJs . Musical instruments or external devices cannot be hooked up to any of Concordia's IT equipment
Equipment loan & rental,Can equipment be taken off-campus?,"No, equipment is for on-campus use only"
Equipment loan & rental,Can equipment be used outdoors?,"No, our equipment is for indoor use only."
Event & room bookings (EMS),Who is a requestor?,"The individual authorized to complete the reservation form on behalf of a group (department or association) in order to request space on campus, responsible for ensuring that the event adheres to all university event-related policies and booking terms and conditions."
Event & room bookings (EMS),What is the difference between the requestor and the onsite contact?,"The requestor has placed the reservation request but the onsite contact is the person who is responsible for being onsite during the entire event (if not the requestor), and assumes responsibility for ensuring that the event adheres to all university event-related policies and booking terms and conditions."
Event & room bookings (EMS),What spaces are available to host events on campus?,The MyEvents Browse Venues tab will display Hospitality administered space.
Event & room bookings (EMS),How do I know which space is best for my event?,"MyEvents will present you with choices according to the criteria your provide (i.e., number of attendees, activity, etc.). If you still have questions, contact Petra Alves, Manager, Conference Services atpetra.alves@concordia.ca."
Faculty resource information system (FRIS),Who can access FRIS?,Access to FRIS is only granted to eligible users at Concordia. Operational access is generally given to department administrators and Dean's Office administrators. Read-only access is given to other eligible University staff.
Faculty resource information system (FRIS),Where do I log into FRIS?,Users may access the FRIS system using a netname and password atfris.concordia.ca.
Faculty resource information system (FRIS),What username and password do I use to access FRIS?,FRIS can be accessed using your Concordia netname and password.
Faculty resource information system (FRIS),What types of access can be granted?,There are different levels of access privileges given to FRIS users.
Faculty resource information system (FRIS),Who grants access to FRIS?,Request for access should be sent to IITSService Desk
Faculty resource information system (FRIS),"If I am a first time applicant for part-time postings, how can I obtain a netname to access FRIS?",Part-time faculty applying for the first time are required to fill out theUsername request form.
Faculty resource information system (FRIS),What do I do if I have forgotten my netname?,"If you do not remember the netname that was given to you, you may fill out theNetname formthat is found on the FRIS website."
Faculty resource information system (FRIS),How long does it take to get a netname for new applicants (or to retrieve an active netname)?,"It takes a maximum of 24 hours to get the information. With the exception of weekends, most requests can be treated within the first 30 minutes."
Faculty resource information system (FRIS),What do I do if I forgot my password?,"If you have forgotten your password, you mustvisit password reset page. A 'Forgot' link is also available on the FRIS webpage, which will redirect you back to the netname password reset."
Fax lines,What should I do if my fax machine doesn't work?,"If the fax machine itself is causing problems, please contact your service provider/vendor. If you suspect that the host line is causing problems contact the Service Desk at x 7613 orhelp@concordiato submit a repair ticket. A Voice Services technician will make a site visit to test and repair the line."
Fax lines,How do I dial a long distance fax number?,Most fax lines are programmed with long distance access.
Group file sharing,Is my data safe?,Your data is stored on a redundant file system and backed up during the day. Data is copied to another location nightly in case of failure of the primary storage system.
Group file sharing,How can I get a larger personal storage quota?,Faculty and staff are given a quota of 10GB.
Group file sharing,How can I request permission changes?,Owners of file shares can contact theService Deskto request permission changes.
Home drive,Is my data safe?,Your data is stored on a redundant file system and backed up during the day. Concordia's IT department offers a 12 month window for data recovery on the home drive.
Home drive,Can anyone else access my data?,"No, home drive data is only accessible to you, as it requires your netname for authentication."
Home drive,How do I restore a deleted document or folder in the home drive?,"To recover a deleted file or folder, follow these steps:"
Home drive,How can I optimize the use of available storage space in my home drive?,Faculty and staff are given a quota of 20GB.
Home drive,What is the difference between the Network Folder and Home Drive icons on my desktop?,The two icons serve essentially the same purpose.
Home drive,I don't have a home drive icon on my desktop. What should I do?,"If you don't have the icon on your computer and you would like to use the home drive, contact theService Desk."
Home drive,Can I access my home drive from off campus?,"If you are using a Concordia-owned device that is not currently connected to the Concordia network, you can use theVirtual Private Networkto access the home drive."
Lecture Capture,Do I lose any intellectual property rights to Concordia when placing recorded classes/videos taken using Concordia’s lecture capture solution on Moodle?,"Concordia offers Yuja as a service to Concordians. Subject to the applicable collective agreements and policies, videos belong to the person who recorded them."
Lecture Capture,Do I lose any intellectual property rights if I post videos to non-Concordia webpages?,"Normally, each website has its terms of use posted on it (usually in the header or footer of the page). You should review these terms to confirm if you are giving up any of your intellectual property rights before posting your videos."
Lecture Capture,Which classrooms are lecture-capture ready for audio and content?,H - 407
Lecture Capture,I'm not an administrator on my computer. Can I still use Yuja?,"Yes, Yuja can work as a web-based solution if you are not administrator on your computer. However, if you are not a local administrator and want to install the software client, contact theIT Service Desk."
Lecture Capture,What kind to courses and classes benefit most from this technology?,"Recording live lectures is especially useful for large lectures with many students. Furthermore, it is best suited to classes that primarily rely on instructor-led lectures accompanied by slides or documents. Because the microphone is limited to the instructor, highly interactive classes do not lend themselves well to this software because it could miss many of the comments. Similarly, classes that involve much writing on a chalkboard or white board need to be adapted to a document camera for easiest recording."
Lecture Capture,Why are students interested?,"The recordings provide students who have difficulty following the original lecture with an opportunity to review the class session. When reviewing the recordings, second-language learners have stated that they can catch points missed in the original lecture.  Other students have commented that the recordings are useful resources when studying for quizzes and exams."
Lecture Capture,How does the recording work?,"To record lectures, professors use the Yuja Enterprise Video Platform available on all classroom computers."
LibCal,What is LibCal?,It is a highly customizable and robust platform for booking spaces. LibCal provides an online solution for the online booking of office spaces on campus.
LibCal,What Training is Available for LibCal?,Please review PDF files under the documentation section above.
LibCal,Who Do I Contact for Assistance,"For questions and additional assistance, please contact the Service Desk via ourwebformor by phone at 514-848-2424, ext. 7613."
Long distance service,How do I add or remove long distance access on my telephone?,This is a feature that is managed by Voice Services. All requests for additional telephone services must be submitted to theService Deskby your departmentalVoIP Coordinator.
Long distance service,How do I dial a long distance call?,Within North America: 9 + 1 + area code + 7 digit phone number
Mailing Lists (ListServ),How to login to ListServ,Notes:
Mailing Lists (ListServ),How to subscribe to a list,"For example, for a mailing list called “CONCORDIALISTSERVSUPPORT”"
Mailing Lists (ListServ),How to unsubscribe from a list,"For example, to unsubscribe from a mailing list called “TEST-LISTSERV”"
Mailing Lists (ListServ),How to email a list that you are subscribed to,"NOTE: Lists can be configured to be sent by 1/ Owner only or 2/ Members only or 3/ Anyone. In order to post to the list, you will need to belong in the authorized category. If you are not authorized to post to the list, you'll received a notification saying that you do not have the authorization to do so."
Mailing Lists (ListServ),"As a list owner, how do I add/remove subscribers to/from my own list",a. To add a new subscriber
Mailing Lists (ListServ),"As a list owner, how do I add/change ownership of my list","In order to add or remove an owner from a mailing list you manage, please send an email to help@concordia.ca with"
Mailing Lists (ListServ),What are the ListServ commands,"ListServ has a user-friendly interface where you can do most tasks as a subscriber or list owner. However, should you prefer to use email commands, below are some common commands and syntax."
Microsoft,Can I install the Office 365 apps on my home computer instead of using the online version?,Faculty and staff have access to the online version of the Office 365 apps and have the option of downloading and installing the apps on up to 5 PCs or Mac. Please follow the installation guide forApple MacOSorWindows.
Microsoft,Is Visio offered under our agreement with Microsoft?,"Our Microsoft 365 Education A3 agreement only includes the Visio Plan 1 license, at no extra cost, as a service. To access,loginusing your Concordia email account and click on Services. The Visio web app will be available there."
Microsoft Azure Dev Tools for Teaching,What happened to the Microsoft Imagine Standard and Microsoft Imagine Premium subscriptions?,"Both programs have been retired and replaced with ""Microsoft Azure Dev Tools for Teaching"". Current subscribers to the Premium program have been transitioned to the Microsoft Azure Dev Tools for Teaching and will receive all the additional benefits that come with it.Benefits previously associated with Microsoft Imagine Premium program will still be available under the new Microsoft Azure Dev Tools for teaching subscription."
Microsoft Azure Dev Tools for Teaching,Where can I find more information about Microsoft Azure Dev Tools for Teaching?,You'll find all the information and FAQs you need on theAzure Dev Tools for Teaching FAQweb page.
Microsoft Azure Dev Tools for Teaching,How can I request Microsoft Azure Dev Tools for Teaching software to be installed on my centrally managed computer?,"To have Microsoft Azure software installed on your centrally managed computer, contact theService Desk."
Microsoft Azure Dev Tools for Teaching,How do I access software in the Microsoft Azure Dev Tools for Teaching portal?,The easiest way to access the software package is to add a link to your Azure Favorites bar on the left side of the screen.
Microsoft Azure Dev Tools for Teaching,How can I request Microsoft Azure Dev Tools for Teaching software to be installed in a lab?,"The request can be made to theService Deskby completing and submitting the web form.Only an active professor teaching a course eligible for the program can submit the request. Requests from students will not be accepted. At the time the ticket is created, the professor must provide the Microsoft Azure Dev Tools for Teaching software name, lab location, course name/number and course start/end date before the request can be processed."
Microsoft Azure Dev Tools for Teaching,What products are included in the Microsoft Azure Dev Tools for Teaching subscription?,Visit Microsoft’s website to view acomplete list of products.
Microsoft Azure Dev Tools for Teaching,Do I have unlimited usage of the software?,The software must be used for instructional and research purposes. It is not permitted to be used to run the infrastructure of a department. Students may install the software on their personal machines for use with coursework and personal development projects. The software is not to be used to run a business or for ventures that drive commercial profit.
"Microsoft Project, Visio, and Visual Studio Licenses",I placed a purchase requisition for Microsoft software. How do I get my software?,"After the software order is processed by the vendor, a new software deployment ticket will be automatically opened with the IT Service Desk. Employees will be contacted by email in the ticket once the software is ready to be installed."
"Microsoft Project, Visio, and Visual Studio Licenses",How can I find out if there are licenses available in my department before purchasing additional licenses?,"Contact the IT Service Desk viaweb form, specifying the software you wish to use and the department in which you work."
"Microsoft Project, Visio, and Visual Studio Licenses","An employee left our department, and their license is no longer in use. How can I transfer the license to another university employee?","Contact the IT Service Desk viaweb form, specifying the software you wish to transfer and include the purchase requisition number (if known), computer name and netname of both the employee who used the software last and the new employee who will receive the software."
"Microsoft Project, Visio, and Visual Studio Licenses",I want to inquire about ordering other Microsoft software. Who do I contact for more information?,"Contact the IT Service Desk viaweb form, specifying the software you wish to order."
"Microsoft Project, Visio, and Visual Studio Licenses",Can I install the software for personal use on my home computer?,"No, the software purchased through our reseller is not for personal use. However, Concordia faculty and staff are eligible to obtain theOffice 365software package free of charge and install on personal and university owned devices."
"Microsoft Project, Visio, and Visual Studio Licenses",I only need a Microsoft 365 license for Visio/Project for one month. Is this possible?,"No, we cannot purchase a subscription license for just one month. Our renewal date is June 1stof each year. Purchases are charged at a monthly rate and pro-rated to May 31st. For example, if you request a quote in October, you’ll be quoted for a 7-month subscription."
"Microsoft Project, Visio, and Visual Studio Licenses",Do I lose access to the Microsoft 365 Project/Visio software if I forget to renew the license subscription before May 31st?,"Yes, employees will lose access to the software subscription on May 31stunless it is purchased and renewed for another year. Contact the IT Service Desk viaweb formto request a new quote before the license expiry date on May 31st. It is the employee’s responsibility to request a new quote and ensure the purchase order is placed and processed before the license expires."
"Microsoft Project, Visio, and Visual Studio Licenses",What is the difference between the Visio licenses?,"A Visio Plan 1 license is only available as a web app and does not include the desktop client version. It is included, at no extra cost, in ourMicrosoft365 Education A3 agreement.If employees need the desktop version of Microsoft 365 for Visio, they can purchase aVisio Plan 2 for Educationlicense. Details on how to obtain a quote are listed in the ""How to get it?"" section of this page. For more information, please visit this Microsoftwebsite."
Mobile device support,Is my personal mobile device supported?,No. Support is only provided to Concordia-owned mobile devices.
Mobile device support,Should I contact the Service Desk for help with my mobile device instead of my department's IT support?,"Yes, mobile devices are being centrally managed and the Service Desk is better positioned to resolve your issues. Please submit yourrequestto the IITS Service Desk."
Mobile device support,How will Concordia provide updates and security patches?,"In order to ensure your mobile devices meet mandatory security standards, we will be using mobile device management tools such as Intune and Jamf."
Mobile device support,What does Concordia manage on my mobile device?,"Concordia will be able to see information such as your device model, manufacturer, operating system information, installed apps, serial number, owner, and ensure that your device meets organizational security compliance policies."
Mobile device support,Can I install and remove any apps on my mobile device?,"Only apps that are prohibited by the government for security and privacy concerns will be blocked. Currently, TikTok and Wechat have been prohibited."
Mobile device support,What is Intune?,"Intune is a service that focuses on keeping Concordia devices secured and up to date. More specifically, it ensures that your device has installed the latest security patches, OS system updates, and application updates automatically."
Mobile device support,How can I order or replace a mobile device (phone or tablet)?,"Faculty & Researchers:If you are looking to purchase a mobile device without a cellular data subscription, please go to theComputer Purchase processpage to order the device through a purchase requisition."
Mobile device support,Can I use my personal Apple or Google profile account with my Concordia-owned mobile device?,"Yes, you can add your personal Apple or Google account to the device. However, any blocked applications will be blocked even if installed with a personal account. We encourage you to only use Apple or Google accounts associated with your Concordia email address."
Mobile device support,How often will phones be replaced?,Concordia-owned phones can be replaced every 2 years. The default model is at zero cost. Any additional features or upgrades will be charged to the user’s department.
Mobile device support,Can I keep my old mobile device?,"No, the device is university property and must be recovered before the new phone can be provided. We can assist with transferring data from the old device."
Mobile device support,What will be the support level offered on my Concordia-owned device?,"We will support Concordia mobile applications, Office 365 and connections to the University Wireless Network and VPN."
Mobile device support,How can I obtain a Concordia-paid phone?,University-paid phones require the approval of your supervisor or department administrator.
Mobile device support,What kind of internal accounts can be used to pay for the phone?,"As phones are typically used by staff members in tasks related to their work, only Operating funds can be charged."
Mobile device support,"I already have a cellular phone and number, can I transfer my number to the University corporate plan?","Yes. Please provide your telephone number, the name of your provider, and the account number to your Supervisor or Department Administrator who will coordinate the transfer with IITS. Once transferred please note that the telephone number becomes the property of the university."
Mobile device support,"I will be travelling outside of Canada, will my phone work?","All corporate phones are limited to work ONLY in Canada. If travelling outside of Canada, please have your supervisor or department's phone administrator complete theInternational Roaming Formand submit it through IITS at least 5 business days before your departure."
Mobile device support,"I already have a Concordia-paid mobile device, but would like to transfer the number to my personal device, is this possible?","In most cases, the phone number can be transferred to your personal device. However there are situations which might require the university to retain the number and transfer it to someone else. Such requests will be examined on a case-by-case basis."
Mobile device support,"I no longer wish to use a Concordia-owned device, how can I opt out?",Please discuss the situation with your manager who can then see about cancelling the phone or re-assigning it to another person.
Moodle learning management system (LMS),Can I access Moodle directly without going through the Hub?,You can access Moodle directly from theMoodle homepageusing your Concordia email.Your list of courses will appear in the Course overview block on your Moodle Dashboard.
Moodle learning management system (LMS),I am a registered student trying to access Moodle but it is not working. What can I do?,"In order for the course to be accessible to students on Moodle, instructors must ""activate"" it.  If you are unable to find the course, contact your instructor to ensure they have made the course visible to students."
Moodle learning management system (LMS),Why am I unable to access my course website even though my professor says it is available?,"You will have access to all 'activated' Moodle courses 24 hours after registration. Otherwise, make sure that the instructor is using Moodle and has not forgotten to make the course site visible to students."
Moodle learning management system (LMS),How do I update my profile on Moodle?,"Moodle is connected to the Student Information System (SIS). Changes to your name and email address should be done byupdating your personal informationin your Student Centre. Once you have made changes in the SIS, it will take up to 48 hours for your Moodle profile to automatically update."
Moodle learning management system (LMS),Why am I not getting forum emails and other students are?,It is likely that the email address in your profile is wrong. Verify theprofile update FAQsection to update your email. It could also be that you are not subscribed to the forums that are generating emails or that you have not enabled your messaging preferences to receive email notifications.
Moodle learning management system (LMS),What browsers are recommended for the best experience in Moodle 4.1?,Moodle works well on all standards-compliant browsers.
Moodle learning management system (LMS),Who do I contact for help with Moodle?,Students should contact theService Deskfor help with Moodle.
Moodle learning management system (LMS),How do I make the course available to students?,"For instructions on how to make your course available to students, refer to the “Make your course visible in Moodle” guide in the “Modifying course settings and format” module. This and other resources are available on theHelp for Instructorspage. Please note you will need to sign into Moodle to view the page."
Moodle learning management system (LMS),How do I enrol individual users in Moodle?,Students are automatically enrolled into your courses. It is not recommended to manually add students to your course.
Moodle learning management system (LMS),How do I view the list of participants on my Moodle site?,Toview the listof participants:
Moodle learning management system (LMS),How do I communicate with students in Moodle?,"For instructions on how to communicate with students in Moodle, refer to the  “Communicating with students” module. This and other resources are available on theHelp for Instructorspage. Please note you will need to sign  into Moodle to view the page."
Moodle learning management system (LMS),What browsers are recommended for the best experience in Moodle 4.1?,Moodle works well on all standards-compliant browsers.
Moodle learning management system (LMS),How do I get help with Moodle?,Moodle questions should be directed to theIT Service Desk.
Moodle learning management system (LMS),What is the Course Reserves Moodle block?,Instructors should not post copyrighted materials on their Moodle course site.
Netname account management,I’ve forgotten my password and/or netname. What should I do?,To reset your password and/or retrieve your netname:
Netname account management,How do I reset my password ?,1.     Visit theForgot Passwordpage and select your account type.
Netname account management,My account is locked. What is that and how can I fix it?,Account lockout is a password security feature that disables a user account when a certain number of failed logons occur due to wrong passwords within a certain interval of time.
Netname account management,Why is the portal not accepting my personal information?,"If you are trying to activate your netname or reset your password, and the system is not accepting your information, you will have to verify your personal information with the appropriate department."
Netname account management,Why has my account been disabled?,"Netname accounts that are created but never used or are inactive for an extended period of time will be disabled for security purposes. If you still have access to the email address and basic personal information on file with Concordia, you can use the enabling feature (available on the portal when the 'Your account has been disabled' error is shown) to access your account."
Netname account management,I am an employee and am unable to access the Carrefour portal. What should I do?,If you no longer know your netname and/or password:
Netname account management,I don't know my ID number (required for certain netname services). How can I retrieve it?,"Your student or employee ID can be found on your ID card, your admissions e-mail, or any official documents you may have received from Concordia. Students can also find their ID number by accessing theStudent Information System (SIS)and clicking on “Demographic Information” at the bottom of the page."
Netname account management,Can I change my netname?,"Netnames are computer generated based on your legal name upon acceptance to Concordia as staff, faculty, or student, or upon submission of an application for admission. As they are used for many of Concordia's systems, netnames can only be changed in the event of a legal name change."
Netname account management,What is a sponsored netname account?,"Sponsored netnames are granted to users who are not paid employees of the University, but will be on campus for an extended period of time. These accounts must be requested by an active Concordia faculty or staff member."
Netname account management,What is a function netname account?,"Function netnames do not reflect the name of a specific user, but instead are created for a specific role or position at Concordia.These accounts must be requested and owned by an active Concordia faculty or staff member, but the ownership may be transferable depending on the account's function."
Network connection & support,How do I request a static IP address?,"If you are requesting a new wired network connection, the IP address information will automatically be provided by IITS."
Network connection & support,I can no longer use my static IP address to remotely connect to my workstation. How can I connect?,You can remotely connect to your workstation by using your workstation’s hostname. This information can be retrieved from your workstation by opening a web browser and typing in the URL field “myip.concordia.ca” (without the quotes). Your hostname is in the “Host and Domain Name” section.
Office 365 - faculty & staff,Is Office 365 secure?,"When evaluating cloud service platforms for potential use by the Concordia community, IITS performs Privacy Impact Assessments (PIA).Click here to learn more about Concordia’s PIA process and privacy controls.While Office 365 has many security features additional precautions are always recommended when storing data as detailed in some of the points below."
Office 365 - faculty & staff,How should I work securely with documents in the O365 apps?,"As with any cloud service, there are important considerations to keep in mind when using Office 365 apps for document storage. The information below also applies to any other tool that you may use collaboratively for your work at Concordia."
Office 365 - faculty & staff,How do I get help with Office 365?,"If you’re new to the Office 365 environment,click here to jointhe new to Teams/Office 365 Ask Us Team. The team is comprised of keen Concordia employees actively working together to share knowledge and problem solve with Office 365!"
Office 365 - faculty & staff,What programs are available in the Office 365 apps?,"All faculty and staff have access to the same set of Office 365 apps which includes online versions of the office suite and a set of additional apps used for collaborating and file sharing. To get a complete and up to date list of the apps available, please log into theMicrosoft online portal."
Office 365 - faculty & staff,Are there mobile apps available?,"Microsoft offers a number of mobile versions of their Office 365 apps without additional cost or licensing.  For a complete list of mobile apps, we encourage faculty and staff to visit Microsoft Corporation’sGoogle Play StoreorApple Storepages according to their device manufacturer."
Office 365 - faculty & staff,Can I install the Office 365 apps locally on my office computer?,"No. If your office computer is owned by Concordia, contact theService Deskor yourIT Repto have Microsoft Office installed with their assistance as there may be some compatibility issues with previous versions of the Office suite."
Office 365 - faculty & staff,Can I install the Office 365 apps on my home computer instead of using the online version?,Faculty and staff have access to the online version of the Office 365 apps and have the option of downloading and installing the apps on up to 5 PCs or Mac. Please follow the installation guide forApple MacOSorWindows.
Office 365 - faculty & staff,How long will I have access to the Office 365 apps?,You will have access to Office 365 as long as you are an active Concordia employee.
Office 365 - faculty & staff,What is Microsoft Teams?,"Microsoft (MS) Teams is a collaboration app that integrates a number of tools from Microsoft.  MS Teams can be used for video meetings, workplace chats, file collaboration, project coordination and video streaming. Faculty and staff can create their own Teams and invite colleagues to join them to collaborate with them."
Office 365 - faculty & staff,Is there training available for Microsoft Teams?,We encourage faculty and staff to learn more about using Microsoft Teams through thisquick start guideor by watchingMicrosoft orientation videos.
Office 365 - faculty & staff,"I’m trying to create a new Team but I get a message that it can’t contain a certain word, what should I do?","Certain words in Teams names have been restricted to avoid confusion.  If you think you have a legitimate need for one of these restricted words, please contact the IITS Service Desk to submit a request."
Office 365 - faculty & staff,I accidently deleted a file in Office 365. How do I retrieve the file?,Check your recycle bin and second stage recycle bin in your OneDrive online portal.
Office 365 - faculty & staff,I am not able to view comments in a shared document. What should I do?,"Make sure all users editing the document are using the same version of Office. There may be minor problems between users collaborating and using different versions of desktop Office suites (such as Office 2016 and Office 365 ProPlus). Some features may not exist in an older version of Office or may be implemented in a new way. If the same desktop version cannot be used and problems occur, we recommend using Office Online (web version) available in Office 365."
Office 365 - faculty & staff,Do I need to activate my Concordia Email ?,No. Email addresses for new staff are now being automatically provisioned within 4 hours.
Office 365 - faculty & staff,What is MyAnalytics?,"MyAnalytics presents you with insights and how you can use these insights to improve your work patterns. To access the dashboard, go to myanalytics.microsoft.com to open your personal MyAnalytics.We encourage faculty and staff to learn more about using MyAnalytics through thisFAQ guideor by watchingthis Microsoft videoshowing common benefits of using MyAnalytics."
Office 365 - students,How can I sign up for an Office 365 email account?,Activate your Office 365 email account.Your account will be accessible in 2 business days.
Office 365 - students,When can I activate my email account?,You will be able to activate your email account two weeks prior to the beginning of the semester.
Office 365 - students,How can I configure MFA for my Microsoft 365 account?,Please visit theMulti-factor authentication page for studentson how to configure MFA on your Android or iOS mobile device or Home phone for your Microsoft 365 account.
Office 365 - students,What programs are available in the Office 365 apps?,All students have access to the same set of Office 365 apps which includes online versions of the office suite and a set of additional apps used for collaborating and file sharing.
Office 365 - students,What are the system requirements for Office 365?,"To install Office 365 Education, your device must meet theminimum system requirements."
Office 365 - students,I have an email address ending in @live.concordia.ca. Am I eligible for the @mail.concordia.ca alias?,"If you have already activated the @live.concordia.ca email account, you may choose to activate the new @mail.concordia.ca email alias."
Office 365 - students,I forgot my username and/or password. What do I do?,"On the main login page, you will need to enter 'your_netname@live.concordia.ca' to access the Concordia-specific login page."
Office 365 - students,What should I do if I'm unable to access my Office 365 email account?,"If it's been 2 business days since you've activated your account and you have followed the above instructions, but are still unable to login, contact theService Deskwith the following information:"
Office 365 - students,What software is available in the suite of Office software?,"The applications included in the desktop version of Office 365 vary depending on your device’s operating system. On a PC computer, the suite includes the latest versions of Word, Excel, PowerPoint, OneNote, Access, Publisher, & Outlook. On a Mac computer, the latest versions of Excel, Outlook, PowerPoint, and Word are included."
Office 365 - students,Can I install the Office 365 apps on my computer instead of using the online version?,Make sure your Concordia email has been activated then follow these instructions forApple MacOSorWindows.
Office 365 - students,What is Microsoft Teams?,"Microsoft (MS) Teams is a collaboration app that integrates a number of tools from Microsoft. MS Teams can be used for video meetings, persistent chats, file collaboration, project coordination and video streaming. Faculty and staff can create their own Teams and invite colleagues to join them to collaborate with them."
Office 365 - students,Is there training available for Microsoft Teams?,We encourage students to learn more about using Microsoft Teams through thisquick start guideor by watchingMicrosoft orientation videos.
Office 365 - students,"I’m trying to create a new Team but I get a message that it can’t contain a certain word, what should I do?","Certain words in Teams names have been restricted to avoid confusion. If you think you have a legitimate need for one of these restricted words, please contact the IITSService Deskto submit a request."
Office 365 - students,How to I request and activate Concordia Email?,Request an email address on Office 365.
Office 365 Education - students,How can I sign up for an Office 365 email account?,Activate your Office 365 email account.Your account will be accessible in 2 business days.
Office 365 Education - students,When can I activate my email account?,You will be able to activate your email account two weeks prior to the beginning of the semester.
Office 365 Education - students,How can I configure MFA for my Microsoft 365 account?,Please visit theMulti-factor authentication page for studentson how to configure MFA on your Android or iOS mobile device or Home phone for your Microsoft 365 account.
Office 365 Education - students,What programs are available in the Office 365 apps?,All students have access to the same set of Office 365 apps which includes online versions of the office suite and a set of additional apps used for collaborating and file sharing.
Office 365 Education - students,What are the system requirements for Office 365?,"To install Office 365 Education, your device must meet theminimum system requirements."
Office 365 Education - students,I have an email address ending in @live.concordia.ca. Am I eligible for the @mail.concordia.ca alias?,"If you have already activated the @live.concordia.ca email account, you may choose to activate the new @mail.concordia.ca email alias."
Office 365 Education - students,I forgot my username and/or password. What do I do?,"On the main login page, you will need to enter 'your_netname@live.concordia.ca' to access the Concordia-specific login page."
