category,question,answer
Teams,My Teams audio or video isn't working? (instance 220),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 221),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 222)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
Eduroam,Eduroam says the certificate is not trusted? (instance 223),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Antivirus,My antivirus software won't update? (instance 224),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
Teams,My Teams audio or video isn't working? (instance 225),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Scam Protection,I received an email asking for my password with a university logo. Is it legitimate? (instance 226),This is likely a phishing attempt. Do NOT provide credentials. Report the email to IT security and delete it.
Teams,My Teams audio or video isn't working? (instance 227),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Canvas,Canvas won't show my grades? (instance 228),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
Virtual Labs,The virtual desktop is running slowly? (instance 229),"Check your internet speed and close other bandwidth-heavy applications. For best performance, use a wired connection if possible."
Eduroam,Eduroam says the certificate is not trusted? (instance 230),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Virtual Labs,The virtual desktop is running slowly? (instance 231),"Check your internet speed and close other bandwidth-heavy applications. For best performance, use a wired connection if possible."
Moodle,I cannot log in to Moodle? (instance 232),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
Antivirus,My antivirus software won't update? (instance 233),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 234)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 235),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 236),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
VPN,My VPN won't connect off campus? (instance 237),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Eduroam,Eduroam says the certificate is not trusted? (instance 238),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Teams,My Teams audio or video isn't working? (instance 239),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Eduroam,Eduroam says the certificate is not trusted? (instance 240),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Antivirus,My antivirus software won't update? (instance 241),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
VPN,My VPN won't connect off campus? (instance 242),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Eduroam,Eduroam says the certificate is not trusted? (instance 243),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
VPN,My VPN won't connect off campus? (instance 244),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Moodle,Moodle is not loading or running slowly? (instance 245),"Try clearing your browser cache or using a different browser. If the issue continues, check for network problems or contact technical support."
Virtual Labs,The virtual desktop is running slowly? (instance 246),"Check your internet speed and close other bandwidth-heavy applications. For best performance, use a wired connection if possible."
Antivirus,My antivirus software won't update? (instance 247),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
VPN,My VPN won't connect off campus? (instance 248),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Teams,My Teams audio or video isn't working? (instance 249),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Google Workspace,How do I share a document in Google Drive? (instance 250),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 251),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Moodle,I cannot log in to Moodle? (instance 252),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
Eduroam,Eduroam says the certificate is not trusted? (instance 253),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 254),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 255)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
Accounts,My university account is locked out? (instance 256),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 257),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Moodle,Moodle is not loading or running slowly? (instance 258),"Try clearing your browser cache or using a different browser. If the issue continues, check for network problems or contact technical support."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 259),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Teams,My Teams audio or video isn't working? (instance 260),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
VPN,My VPN won't connect off campus? (instance 261),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Antivirus,My antivirus software won't update? (instance 262),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
Moodle,I cannot log in to Moodle? (instance 263),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
Accounts,My university account is locked out? (instance 264),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
VPN,My VPN won't connect off campus? (instance 265),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Scam Protection,I received an email asking for my password with a university logo. Is it legitimate? (instance 266),This is likely a phishing attempt. Do NOT provide credentials. Report the email to IT security and delete it.
Teams,My Teams audio or video isn't working? (instance 267),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Teams,My Teams audio or video isn't working? (instance 268),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 269),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Accounts,My university account is locked out? (instance 270),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
Scam Protection,I received an email asking for my password with a university logo. Is it legitimate? (instance 271),This is likely a phishing attempt. Do NOT provide credentials. Report the email to IT security and delete it.
Teams,My Teams audio or video isn't working? (instance 272),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Google Workspace,How do I share a document in Google Drive? (instance 273),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 274)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
Teams,My Teams audio or video isn't working? (instance 275),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Antivirus,My antivirus software won't update? (instance 276),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
Canvas,Canvas won't show my grades? (instance 277),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
Eduroam,Eduroam says the certificate is not trusted? (instance 278),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Eduroam,Eduroam says the certificate is not trusted? (instance 279),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 280)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
Google Workspace,How do I share a document in Google Drive? (instance 281),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Google Workspace,How do I share a document in Google Drive? (instance 282),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Google Workspace,How do I share a document in Google Drive? (instance 283),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Accounts,My university account is locked out? (instance 284),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
Moodle,I cannot log in to Moodle? (instance 285),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
Accounts,My university account is locked out? (instance 286),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
Google Workspace,How do I share a document in Google Drive? (instance 287),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Google Workspace,How do I share a document in Google Drive? (instance 288),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Canvas,Canvas won't show my grades? (instance 289),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
Accounts,My university account is locked out? (instance 290),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 291)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
Teams,My Teams audio or video isn't working? (instance 292),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 293)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
Virtual Labs,The virtual desktop is running slowly? (instance 294),"Check your internet speed and close other bandwidth-heavy applications. For best performance, use a wired connection if possible."
VPN,My VPN won't connect off campus? (instance 295),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Google Workspace,How do I share a document in Google Drive? (instance 296),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Antivirus,My antivirus software won't update? (instance 297),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
Virtual Labs,The virtual desktop is running slowly? (instance 298),"Check your internet speed and close other bandwidth-heavy applications. For best performance, use a wired connection if possible."
Virtual Labs,The virtual desktop is running slowly? (instance 299),"Check your internet speed and close other bandwidth-heavy applications. For best performance, use a wired connection if possible."
Accounts,My university account is locked out? (instance 300),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 301)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
Teams,My Teams audio or video isn't working? (instance 302),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
VPN,My VPN won't connect off campus? (instance 303),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Canvas,Canvas won't show my grades? (instance 304),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
VPN,My VPN won't connect off campus? (instance 305),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Eduroam,Eduroam says the certificate is not trusted? (instance 306),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Canvas,Canvas won't show my grades? (instance 307),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
Moodle,Moodle is not loading or running slowly? (instance 308),"Try clearing your browser cache or using a different browser. If the issue continues, check for network problems or contact technical support."
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 309)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
Scam Protection,I received an email asking for my password with a university logo. Is it legitimate? (instance 310),This is likely a phishing attempt. Do NOT provide credentials. Report the email to IT security and delete it.
Moodle,I cannot log in to Moodle? (instance 311),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
Virtual Labs,The virtual desktop is running slowly? (instance 312),"Check your internet speed and close other bandwidth-heavy applications. For best performance, use a wired connection if possible."
Accounts,My university account is locked out? (instance 313),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 314)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
Virtual Labs,The virtual desktop is running slowly? (instance 315),"Check your internet speed and close other bandwidth-heavy applications. For best performance, use a wired connection if possible."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 316),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Moodle,Moodle is not loading or running slowly? (instance 317),"Try clearing your browser cache or using a different browser. If the issue continues, check for network problems or contact technical support."
Teams,My Teams audio or video isn't working? (instance 318),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
VPN,My VPN won't connect off campus? (instance 319),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Moodle,Moodle is not loading or running slowly? (instance 320),"Try clearing your browser cache or using a different browser. If the issue continues, check for network problems or contact technical support."
Accounts,My university account is locked out? (instance 321),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
Teams,My Teams audio or video isn't working? (instance 322),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Eduroam,Eduroam says the certificate is not trusted? (instance 323),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Teams,My Teams audio or video isn't working? (instance 324),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 325)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
Canvas,Canvas won't show my grades? (instance 326),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
Scam Protection,I received an email asking for my password with a university logo. Is it legitimate? (instance 327),This is likely a phishing attempt. Do NOT provide credentials. Report the email to IT security and delete it.
Google Workspace,How do I share a document in Google Drive? (instance 328),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Google Workspace,How do I share a document in Google Drive? (instance 329),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
VPN,My VPN won't connect off campus? (instance 330),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Eduroam,Eduroam says the certificate is not trusted? (instance 331),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
VPN,My VPN won't connect off campus? (instance 332),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Canvas,Canvas won't show my grades? (instance 333),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 334)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 335),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 336)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
Teams,My Teams audio or video isn't working? (instance 337),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Google Workspace,How do I share a document in Google Drive? (instance 338),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Canvas,Canvas won't show my grades? (instance 339),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 340),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Google Workspace,How do I share a document in Google Drive? (instance 341),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Moodle,Moodle is not loading or running slowly? (instance 342),"Try clearing your browser cache or using a different browser. If the issue continues, check for network problems or contact technical support."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 343),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Eduroam,Eduroam says the certificate is not trusted? (instance 344),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Moodle,I cannot log in to Moodle? (instance 345),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
Scam Protection,I received an email asking for my password with a university logo. Is it legitimate? (instance 346),This is likely a phishing attempt. Do NOT provide credentials. Report the email to IT security and delete it.
Eduroam,Eduroam says the certificate is not trusted? (instance 347),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 348)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 349),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Moodle,I cannot log in to Moodle? (instance 350),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
Google Workspace,How do I share a document in Google Drive? (instance 351),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 352),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Antivirus,My antivirus software won't update? (instance 353),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
Google Workspace,How do I share a document in Google Drive? (instance 354),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Moodle,I cannot log in to Moodle? (instance 355),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
Antivirus,My antivirus software won't update? (instance 356),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
Canvas,Canvas won't show my grades? (instance 357),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
Accounts,My university account is locked out? (instance 358),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
Teams,My Teams audio or video isn't working? (instance 359),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Teams,My Teams audio or video isn't working? (instance 360),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Google Workspace,How do I share a document in Google Drive? (instance 361),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Scam Protection,I received an email asking for my password with a university logo. Is it legitimate? (instance 362),This is likely a phishing attempt. Do NOT provide credentials. Report the email to IT security and delete it.
Accounts,My university account is locked out? (instance 363),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
Teams,My Teams audio or video isn't working? (instance 364),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Moodle,Moodle is not loading or running slowly? (instance 365),"Try clearing your browser cache or using a different browser. If the issue continues, check for network problems or contact technical support."
VPN,My VPN won't connect off campus? (instance 366),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Accounts,My university account is locked out? (instance 367),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
Teams,My Teams audio or video isn't working? (instance 368),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Scam Protection,I received an email asking for my password with a university logo. Is it legitimate? (instance 369),This is likely a phishing attempt. Do NOT provide credentials. Report the email to IT security and delete it.
Virtual Labs,The virtual desktop is running slowly? (instance 370),"Check your internet speed and close other bandwidth-heavy applications. For best performance, use a wired connection if possible."
Teams,My Teams audio or video isn't working? (instance 371),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 372)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
Canvas,Canvas won't show my grades? (instance 373),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
VPN,My VPN won't connect off campus? (instance 374),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Virtual Labs,The virtual desktop is running slowly? (instance 375),"Check your internet speed and close other bandwidth-heavy applications. For best performance, use a wired connection if possible."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 376),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Teams,My Teams audio or video isn't working? (instance 377),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Moodle,Moodle is not loading or running slowly? (instance 378),"Try clearing your browser cache or using a different browser. If the issue continues, check for network problems or contact technical support."
Canvas,Canvas won't show my grades? (instance 379),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
Moodle,Moodle is not loading or running slowly? (instance 380),"Try clearing your browser cache or using a different browser. If the issue continues, check for network problems or contact technical support."
Google Workspace,How do I share a document in Google Drive? (instance 381),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Moodle,Moodle is not loading or running slowly? (instance 382),"Try clearing your browser cache or using a different browser. If the issue continues, check for network problems or contact technical support."
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 383)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
Google Workspace,How do I share a document in Google Drive? (instance 384),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
VPN,My VPN won't connect off campus? (instance 385),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Accounts,My university account is locked out? (instance 386),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 387),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
VPN,My VPN won't connect off campus? (instance 388),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Google Workspace,How do I share a document in Google Drive? (instance 389),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
VPN,My VPN won't connect off campus? (instance 390),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
VPN,My VPN won't connect off campus? (instance 391),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Moodle,I cannot log in to Moodle? (instance 392),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
Canvas,Canvas won't show my grades? (instance 393),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
Scam Protection,I received an email asking for my password with a university logo. Is it legitimate? (instance 394),This is likely a phishing attempt. Do NOT provide credentials. Report the email to IT security and delete it.
Moodle,I cannot log in to Moodle? (instance 395),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
Google Workspace,How do I share a document in Google Drive? (instance 396),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Eduroam,Eduroam says the certificate is not trusted? (instance 397),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Teams,My Teams audio or video isn't working? (instance 398),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 399),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 400),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Moodle,Moodle is not loading or running slowly? (instance 401),"Try clearing your browser cache or using a different browser. If the issue continues, check for network problems or contact technical support."
Scam Protection,I received an email asking for my password with a university logo. Is it legitimate? (instance 402),This is likely a phishing attempt. Do NOT provide credentials. Report the email to IT security and delete it.
Canvas,Canvas won't show my grades? (instance 403),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
Antivirus,My antivirus software won't update? (instance 404),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
Accounts,My university account is locked out? (instance 405),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
VPN,My VPN won't connect off campus? (instance 406),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Accounts,My university account is locked out? (instance 407),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
Moodle,Moodle is not loading or running slowly? (instance 408),"Try clearing your browser cache or using a different browser. If the issue continues, check for network problems or contact technical support."
Google Workspace,How do I share a document in Google Drive? (instance 409),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Moodle,Moodle is not loading or running slowly? (instance 410),"Try clearing your browser cache or using a different browser. If the issue continues, check for network problems or contact technical support."
Scam Protection,I received an email asking for my password with a university logo. Is it legitimate? (instance 411),This is likely a phishing attempt. Do NOT provide credentials. Report the email to IT security and delete it.
Scam Protection,I received an email asking for my password with a university logo. Is it legitimate? (instance 412),This is likely a phishing attempt. Do NOT provide credentials. Report the email to IT security and delete it.
Accounts,My university account is locked out? (instance 413),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
Scam Protection,I received an email asking for my password with a university logo. Is it legitimate? (instance 414),This is likely a phishing attempt. Do NOT provide credentials. Report the email to IT security and delete it.
Eduroam,Eduroam says the certificate is not trusted? (instance 415),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Eduroam,Eduroam says the certificate is not trusted? (instance 416),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
